"_raw","_time","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,host,index,linecount,pid,process,punct,source,sourcetype,"splunk_server","splunk_server_group",timeendpos,timestartpos
"May  2 15:27:16 metasploitable3-ub1404 sshd[3818]: Failed password for vagrant from 10.0.2.5 port 60634 ssh2","2025-05-02T18:27:16.000+0300",15,2,27,may,16,friday,2025,local,,"metasploitable3-ub1404",main,1,3818,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:16 metasploitable3-ub1404 sshd[3803]: Failed password for vagrant from 10.0.2.5 port 60584 ssh2","2025-05-02T18:27:16.000+0300",15,2,27,may,16,friday,2025,local,,"metasploitable3-ub1404",main,1,3803,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:16 metasploitable3-ub1404 sshd[3798]: Failed password for vagrant from 10.0.2.5 port 60550 ssh2","2025-05-02T18:27:16.000+0300",15,2,27,may,16,friday,2025,local,,"metasploitable3-ub1404",main,1,3798,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:16 metasploitable3-ub1404 sshd[3795]: Failed password for vagrant from 10.0.2.5 port 60506 ssh2","2025-05-02T18:27:16.000+0300",15,2,27,may,16,friday,2025,local,,"metasploitable3-ub1404",main,1,3795,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:16 metasploitable3-ub1404 sshd[3799]: Failed password for vagrant from 10.0.2.5 port 60562 ssh2","2025-05-02T18:27:16.000+0300",15,2,27,may,16,friday,2025,local,,"metasploitable3-ub1404",main,1,3799,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:16 metasploitable3-ub1404 sshd[3822]: Failed password for vagrant from 10.0.2.5 port 60664 ssh2","2025-05-02T18:27:16.000+0300",15,2,27,may,16,friday,2025,local,,"metasploitable3-ub1404",main,1,3822,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:16 metasploitable3-ub1404 sshd[3817]: Failed password for vagrant from 10.0.2.5 port 60624 ssh2","2025-05-02T18:27:16.000+0300",15,2,27,may,16,friday,2025,local,,"metasploitable3-ub1404",main,1,3817,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:16 metasploitable3-ub1404 sshd[3820]: Failed password for vagrant from 10.0.2.5 port 60636 ssh2","2025-05-02T18:27:16.000+0300",15,2,27,may,16,friday,2025,local,,"metasploitable3-ub1404",main,1,3820,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:15 metasploitable3-ub1404 sshd[3810]: Failed password for vagrant from 10.0.2.5 port 60608 ssh2","2025-05-02T18:27:15.000+0300",15,2,27,may,15,friday,2025,local,,"metasploitable3-ub1404",main,1,3810,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
"May  2 15:27:15 metasploitable3-ub1404 sshd[3809]: Failed password for vagrant from 10.0.2.5 port 60606 ssh2","2025-05-02T18:27:15.000+0300",15,2,27,may,15,friday,2025,local,,"metasploitable3-ub1404",main,1,3809,sshd,"___::_-_[]:______...___","/var/log/auth.log","linux_secure",Attacker,,16,0
